Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0098","0.0001"
"0.1000","0.0099","0.0001"
"0.2000","0.0101","0.0001"
"0.3000","0.0106","0.0001"
"0.4000","0.0123","0.0001"
"0.5000","0.0145","0.0001"
"0.6000","0.0168","0.0001"
"0.7000","0.0192","0.0001"
"0.8000","0.0219","0.0001"
"0.9000","0.0247","0.0001"
"1.0000","0.0274","0.0001"
"1.1000","0.0300","0.0001"
"1.2000","0.0324","0.0001"
"1.3000","0.0347","0.0001"
"1.4000","0.0369","0.0001"
"1.5000","0.0393","0.0001"
"1.6000","0.0420","0.0002"
"1.7000","0.0449","0.0002"
"1.8000","0.0475","0.0002"
"1.9000","0.0500","0.0002"
"2.0000","0.0526","0.0002"
"2.1000","0.0553","0.0002"
"2.2000","0.0580","0.0002"
"2.3000","0.0605","0.0002"
"2.4000","0.0629","0.0002"
"2.5000","0.0653","0.0002"
"2.6000","0.0676","0.0002"
"2.7000","0.0699","0.0002"
"2.8000","0.0724","0.0002"
"2.9000","0.0751","0.0002"
"3.0000","0.0778","0.0002"
"3.1000","0.0804","0.0002"
"3.2000","0.0829","0.0002"
"3.3000","0.0851","0.0002"
"3.4000","0.0872","0.0002"
"3.5000","0.0894","0.0002"
"3.6000","0.0918","0.0002"
"3.7000","0.0945","0.0002"
"3.8000","0.0972","0.0003"
"3.9000","0.0998","0.0003"
"4.0000","0.1023","0.0003"
"4.1000","0.1049","0.0003"
"4.2000","0.1076","0.0003"
"4.3000","0.1103","0.0003"
"4.4000","0.1128","0.0003"
"4.5000","0.1152","0.0003"
"4.6000","0.1176","0.0003"
"4.7000","0.1199","0.0003"
"4.8000","0.1224","0.0003"
"4.9000","0.1249","0.0003"
"5.0000","0.1276","0.0003"
"5.1000","0.1303","0.0003"
"5.2000","0.1329","0.0003"
"5.3000","0.1353","0.0003"
"5.4000","0.1375","0.0003"
"5.5000","0.1397","0.0003"
"5.6000","0.1420","0.0003"
"5.7000","0.1445","0.0003"
"5.8000","0.1474","0.0004"
"5.9000","0.1501","0.0004"
"6.0000","0.1526","0.0004"
"6.1000","0.1550","0.0004"
"6.2000","0.1576","0.0004"
"6.3000","0.1603","0.0004"
"6.4000","0.1630","0.0004"
"6.5000","0.1656","0.0004"
"6.6000","0.1680","0.0004"
"6.7000","0.1703","0.0004"
"6.8000","0.1726","0.0004"
"6.9000","0.1750","0.0004"
"7.0000","0.1776","0.0004"
"7.1000","0.1804","0.0004"
"7.2000","0.1831","0.0004"
"7.3000","0.1856","0.0004"
"7.4000","0.1879","0.0004"
"7.5000","0.1900","0.0004"
"7.6000","0.1921","0.0004"
"7.7000","0.1944","0.0004"
"7.8000","0.1968","0.0005"
"7.9000","0.1996","0.0005"
"8.0000","0.2022","0.0005"
"8.1000","0.2047","0.0005"
"8.2000","0.2072","0.0005"
"8.3000","0.2098","0.0005"
"8.4000","0.2125","0.0005"
"8.5000","0.2152","0.0005"
"8.6000","0.2178","0.0005"
"8.7000","0.2202","0.0005"
"8.8000","0.2225","0.0005"
"8.9000","0.2248","0.0005"
"9.0000","0.2273","0.0005"
"9.1000","0.2299","0.0005"
"9.2000","0.2326","0.0005"
"9.3000","0.2354","0.0006"
"9.4000","0.2379","0.0006"
"9.5000","0.2402","0.0006"
"9.6000","0.2423","0.0006"
"9.7000","0.2444","0.0006"
"9.8000","0.2468","0.0006"
"9.9000","0.2494","0.0006"
"10.0000","0.2523","0.0006"
"10.1000","0.2550","0.0006"
"10.2000","0.2575","0.0006"
"10.3000","0.2601","0.0006"
"10.4000","0.2628","0.0006"
"10.5000","0.2655","0.0006"
"10.6000","0.2681","0.0006"
"10.7000","0.2706","0.0006"
"10.8000","0.2729","0.0006"
"10.9000","0.2751","0.0007"
"11.0000","0.2774","0.0007"
"11.1000","0.2799","0.0007"
"11.2000","0.2826","0.0007"
"11.3000","0.2854","0.0007"
"11.4000","0.2880","0.0007"
