Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0007"
"0.1000","0.0002","0.0007"
"0.2000","0.0007","0.0007"
"0.3000","0.0034","0.0007"
"0.4000","0.0072","0.0007"
"0.5000","0.0115","0.0008"
"0.6000","0.0159","0.0008"
"0.7000","0.0196","0.0008"
"0.8000","0.0235","0.0008"
"0.9000","0.0280","0.0009"
"1.0000","0.0323","0.0009"
"1.1000","0.0364","0.0009"
"1.2000","0.0411","0.0010"
"1.3000","0.0458","0.0010"
"1.4000","0.0498","0.0010"
"1.5000","0.0535","0.0010"
"1.6000","0.0574","0.0010"
"1.7000","0.0617","0.0011"
"1.8000","0.0663","0.0011"
"1.9000","0.0703","0.0011"
"2.0000","0.0738","0.0011"
"2.1000","0.0777","0.0011"
"2.2000","0.0822","0.0012"
"2.3000","0.0864","0.0012"
"2.4000","0.0908","0.0012"
"2.5000","0.0956","0.0012"
"2.6000","0.1000","0.0013"
"2.7000","0.1039","0.0013"
"2.8000","0.1077","0.0013"
"2.9000","0.1120","0.0013"
"3.0000","0.1165","0.0014"
"3.1000","0.1206","0.0014"
"3.2000","0.1242","0.0014"
"3.3000","0.1278","0.0014"
"3.4000","0.1322","0.0015"
"3.5000","0.1368","0.0015"
"3.6000","0.1409","0.0015"
"3.7000","0.1455","0.0015"
"3.8000","0.1501","0.0016"
"3.9000","0.1541","0.0016"
"4.0000","0.1577","0.0016"
"4.1000","0.1617","0.0016"
"4.2000","0.1664","0.0017"
"4.3000","0.1711","0.0017"
"4.4000","0.1747","0.0017"
"4.5000","0.1781","0.0017"
"4.6000","0.1819","0.0018"
"4.7000","0.1863","0.0018"
"4.8000","0.1905","0.0018"
"4.9000","0.1949","0.0019"
"5.0000","0.1995","0.0019"
"5.1000","0.2039","0.0019"
"5.2000","0.2079","0.0019"
"5.3000","0.2117","0.0020"
"5.4000","0.2160","0.0020"
"5.5000","0.2208","0.0020"
"5.6000","0.2249","0.0021"
"5.7000","0.2283","0.0021"
"5.8000","0.2320","0.0021"
"5.9000","0.2363","0.0021"
"6.0000","0.2407","0.0022"
"6.1000","0.2449","0.0022"
"6.2000","0.2496","0.0022"
"6.3000","0.2542","0.0023"
"6.4000","0.2582","0.0023"
"6.5000","0.2618","0.0023"
"6.6000","0.2656","0.0024"
"6.7000","0.2702","0.0024"
"6.8000","0.2748","0.0024"
"6.9000","0.2785","0.0025"
"7.0000","0.2820","0.0025"
"7.1000","0.2859","0.0025"
"7.2000","0.2904","0.0025"
"7.3000","0.2947","0.0026"
"7.4000","0.2993","0.0026"
"7.5000","0.3041","0.0027"
"7.6000","0.3085","0.0027"
"7.7000","0.3125","0.0027"
"7.8000","0.3163","0.0027"
"7.9000","0.3204","0.0028"
"8.0000","0.3249","0.0028"
"8.1000","0.3291","0.0028"
"8.2000","0.3325","0.0029"
"8.3000","0.3361","0.0029"
"8.4000","0.3403","0.0029"
"8.5000","0.3447","0.0030"
"8.6000","0.3489","0.0030"
"8.7000","0.3536","0.0030"
"8.8000","0.3583","0.0031"
"8.9000","0.3622","0.0031"
"9.0000","0.3659","0.0031"
"9.1000","0.3698","0.0032"
"9.2000","0.3744","0.0032"
"9.3000","0.3790","0.0033"
"9.4000","0.3829","0.0033"
"9.5000","0.3865","0.0033"
"9.6000","0.3905","0.0033"
"9.7000","0.3950","0.0034"
"9.8000","0.3993","0.0034"
"9.9000","0.4036","0.0035"
"10.0000","0.4082","0.0035"
"10.1000","0.4125","0.0035"
"10.2000","0.4164","0.0036"
"10.3000","0.4202","0.0036"
"10.4000","0.4245","0.0036"
"10.5000","0.4290","0.0037"
"10.6000","0.4330","0.0037"
"10.7000","0.4365","0.0037"
"10.8000","0.4400","0.0038"
"10.9000","0.4443","0.0038"
"11.0000","0.4487","0.0038"
"11.1000","0.4529","0.0039"
"11.2000","0.4575","0.0039"
"11.3000","0.4623","0.0040"
"11.4000","0.4666","0.0040"
"11.5000","0.4704","0.0040"
"11.6000","0.4743","0.0041"
"11.7000","0.4788","0.0041"
"11.8000","0.4834","0.0042"
"11.9000","0.4872","0.0042"
"12.0000","0.4906","0.0042"
"12.1000","0.4946","0.0043"
"12.2000","0.4992","0.0043"
"12.3000","0.5035","0.0044"
"12.4000","0.5079","0.0044"
"12.5000","0.5125","0.0045"
"12.6000","0.5169","0.0045"
"12.7000","0.5207","0.0046"
"12.8000","0.5244","0.0046"
"12.9000","0.5283","0.0046"
"13.0000","0.5327","0.0047"
"13.1000","0.5368","0.0047"
"13.2000","0.5404","0.0048"
"13.3000","0.5440","0.0048"
