Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.1000","0.0000","0.0000"
"0.2000","0.0001","0.0000"
"0.3000","0.0002","0.0000"
"0.4000","0.0004","0.0000"
"0.5000","0.0006","0.0000"
"0.6000","0.0009","0.0000"
"0.7000","0.0017","0.0000"
"0.8000","0.0037","0.0000"
"0.9000","0.0060","0.0000"
"1.0000","0.0076","0.0000"
"1.1000","0.0087","0.0000"
"1.2000","0.0097","0.0000"
"1.3000","0.0106","0.0000"
"1.4000","0.0114","0.0000"
"1.5000","0.0122","0.0000"
"1.6000","0.0130","0.0000"
"1.7000","0.0139","0.0000"
"1.8000","0.0147","0.0000"
"1.9000","0.0156","0.0000"
"2.0000","0.0165","0.0000"
"2.1000","0.0173","0.0000"
"2.2000","0.0182","0.0000"
"2.3000","0.0190","0.0000"
"2.4000","0.0198","0.0000"
"2.5000","0.0207","0.0000"
"2.6000","0.0215","0.0000"
"2.7000","0.0223","0.0000"
"2.8000","0.0231","0.0000"
"2.9000","0.0239","0.0000"
"3.0000","0.0247","0.0000"
"3.1000","0.0254","0.0000"
"3.2000","0.0262","0.0000"
"3.3000","0.0270","0.0000"
"3.4000","0.0278","0.0000"
"3.5000","0.0287","0.0000"
"3.6000","0.0295","0.0000"
"3.7000","0.0304","0.0000"
"3.8000","0.0312","0.0000"
"3.9000","0.0321","0.0000"
"4.0000","0.0330","0.0000"
"4.1000","0.0339","0.0000"
"4.2000","0.0348","0.0000"
"4.3000","0.0356","0.0000"
"4.4000","0.0365","0.0000"
"4.5000","0.0373","0.0000"
"4.6000","0.0381","0.0000"
"4.7000","0.0389","0.0000"
"4.8000","0.0397","0.0000"
"4.9000","0.0405","0.0000"
"5.0000","0.0414","0.0000"
"5.1000","0.0422","0.0000"
"5.2000","0.0431","0.0000"
"5.3000","0.0440","0.0000"
"5.4000","0.0449","0.0000"
"5.5000","0.0458","0.0000"
"5.6000","0.0466","0.0000"
"5.7000","0.0475","0.0000"
"5.8000","0.0483","0.0000"
"5.9000","0.0492","0.0000"
"6.0000","0.0500","0.0000"
"6.1000","0.0508","0.0000"
"6.2000","0.0516","0.0000"
"6.3000","0.0525","0.0000"
"6.4000","0.0533","0.0000"
"6.5000","0.0541","0.0000"
"6.6000","0.0549","0.0000"
"6.7000","0.0557","0.0000"
"6.8000","0.0565","0.0000"
"6.9000","0.0573","0.0000"
"7.0000","0.0581","0.0000"
"7.1000","0.0589","0.0000"
"7.2000","0.0596","0.0000"
"7.3000","0.0605","0.0000"
"7.4000","0.0613","0.0000"
"7.5000","0.0621","0.0000"
"7.6000","0.0630","0.0000"
"7.7000","0.0639","0.0000"
"7.8000","0.0648","0.0000"
"7.9000","0.0657","0.0000"
"8.0000","0.0665","0.0000"
"8.1000","0.0674","0.0000"
"8.2000","0.0683","0.0000"
"8.3000","0.0691","0.0000"
"8.4000","0.0699","0.0000"
"8.5000","0.0708","0.0000"
"8.6000","0.0716","0.0000"
"8.7000","0.0724","0.0000"
"8.8000","0.0732","0.0000"
"8.9000","0.0740","0.0000"
"9.0000","0.0748","0.0000"
"9.1000","0.0756","0.0000"
"9.2000","0.0764","0.0000"
"9.3000","0.0772","0.0000"
"9.4000","0.0779","0.0000"
"9.5000","0.0787","0.0000"
"9.6000","0.0795","0.0000"
"9.7000","0.0804","0.0000"
"9.8000","0.0812","0.0000"
"9.9000","0.0821","0.0000"
"10.0000","0.0830","0.0000"
"10.1000","0.0839","0.0000"
"10.2000","0.0847","0.0000"
"10.3000","0.0856","0.0000"
"10.4000","0.0865","0.0000"
"10.5000","0.0873","0.0000"
"10.6000","0.0882","0.0000"
"10.7000","0.0890","0.0000"
"10.8000","0.0898","0.0000"
"10.9000","0.0906","0.0000"
"11.0000","0.0914","0.0000"
"11.1000","0.0922","0.0000"
"11.2000","0.0930","0.0000"
"11.3000","0.0939","0.0000"
"11.4000","0.0947","0.0000"
"11.5000","0.0956","0.0000"
"11.6000","0.0965","0.0000"
